,id,name,popularity,followers,last_month_listeners
0,3TVXtAsR1Inumwj472S9r4,Drake,95,103285391,80709656
2,2YZyLoL8N0Wb9xBt1NhZWg,Kendrick Lamar,89,44697878,71382594
5,7dGJo4pcD2V6oG8kP0tJRR,Eminem,88,104702538,70917077
3,5K4W6rqBFWDnAN6FQUkS6x,Kanye West,89,31096938,64928447
7,246dkjvS1zLTtiykXe5h60,Post Malone,86,47746781,62592702
1,0Y5tJX1MQlPlqiwlOH1tJY,Travis Scott,90,41206363,60415580
4,1RyvyyTE3xzB2ZywiAwp0i,Future,89,22731489,51318098
6,4V8LLVI7PbaPR0K2TGSxFF,"Tyler, The Creator",87,24503117,48867820
9,55Aa2cqylxrFIXC767Z865,Lil Wayne,86,17974589,47835999
8,699OTQXzgjhIYAHMy9RyPD,Playboi Carti,86,15063390,46577623
14,0hCNtLu0JehylgoiP8L4Gh,Nicki Minaj,84,34314932,45805977
16,0iEtIxbK0KxaSlF7G42ZOp,Metro Boomin,84,11713630,43581089
20,3q7HBObVc0L8jNeTe5Gofh,50 Cent,83,18921420,42157480
21,3AA28KZvwAUcZuOKwyblJQ,Gorillaz,83,14556930,41737713
15,1URnnhqYAYcrqrcwql10ft,21 Savage,84,23862362,41370167
33,137W8MRPWKqSmrBGDBFSop,Wiz Khalifa,81,12089148,40463504
19,3nFkdlSjzX9mRTtwJOzDYB,JAY-Z,83,10397003,39267790
11,4Gso3d4CscCijv0lmajZWs,Don Toliver,85,7501332,38467206
43,2tIP7SsRs7vjIcLrU85W8J,The Kid LAROI,79,6609282,38006153
29,7c0XG5cIJTrrAgEC3ULPiq,Ty Dolla $ign,81,7331815,35897769
24,13ubrt8QOOCPljQ2FL1Kca,A$AP Rocky,82,17357767,35692908
62,1zNqQNIdeOUZHb8zbZRFMX,Swae Lee,77,3027734,34614634
18,15UsOTVnJzReFVN1VCnxy4,XXXTENTACION,83,51781949,33918431
30,4kYSro6naA4h99UJvo89HB,Cardi B,81,25974793,33823196
13,2hlmm7s2ICUX0LVIhVFlZQ,Gunna,85,10387170,32934966
26,6l3HvQ5sa6mXTsMTB19rO5,J. Cole,82,27104232,32864689
17,50co4Is1HCEo8bhOyUWKpn,Young Thug,84,12440028,29671347
12,5f7VJjfbwm532GiveGC0ZK,Lil Baby,85,21693804,29598868
10,4MCBfE4596Uoi2O4DtmEMz,Juice WRLD,85,42629295,29275084
34,7hJcb9fa4alzcOq3EaNPoG,Snoop Dogg,81,15736632,28651248
46,0fA0VVWsXO9YnASrzqfmYu,Kid Cudi,79,7700865,28297631
22,4SsVbpTthjScTS7U2hmr1X,Arcángel,83,17873314,26922921
25,4O15NlyKLIASxsJ0PrXPfz,Lil Uzi Vert,82,19279387,26707857
28,4LLpKhyESsyAXpc4laK94U,Mac Miller,82,12189958,26536324
115,3JhNCzhSMTxs9WLGJJxWOY,Macklemore,74,2835173,26159271
49,3aQeKQSyrW4qWr35idm0cy,T-Pain,79,5835215,25728502
114,6vXTefBL93Dj5IqAWq6OTv,French Montana,74,5846130,25544988
61,4r63FhuTkUYltbVAg5TQnk,DaBaby,77,12967587,25528590
51,1ZwdS5xdxEREPySFridCfh,2Pac,78,22599602,24796817
44,5H4yInM5zmHqpKIoMNAx4r,Central Cee,79,9706884,24731623
56,5LHRHt1k9lMyONurDHEdrp,Tyga,78,7322156,24701687
39,2jku7tDXc6XoB6MO2hFuqg,Tory Lanez,80,8300610,24282210
74,716NhGYqD1jl2wI1Qkgq36,Bizarrap,77,18216060,24163703
79,2LIk90788K0zvyj2JJVwkJ,Jack Harlow,76,4355571,23904196
54,6DPYiyq5kWVQS4RGwxzPC7,Dr. Dre,78,15120945,23602161
118,2gBjLmx6zQnFGQJCAQpRgw,Nelly,74,3757262,23056977
40,2EMAnMvWE2eb56ToJVfCWs,Bryson Tiller,80,10582865,22865348
50,19k8AgwwTSxeaxkOuCQEJs,Jelly Roll,79,6117460,21477957
138,0QHgL1lAIqAw0HtD7YldmP,DJ Khaled,73,12358072,20590541
36,6DARBhWbfcS9E4yJzcliqQ,Karan Aujla,81,22614018,20476592
23,2kCcBybjl3SAtIcwdWpUe3,Lil Peep,82,15731159,20464901
48,4Ga1P7PMIsmqEZqhYZQgDo,Lil Tecca,79,10189272,20457513
