,track_id,popularity_track,duration_min,explicit,track_number,release_date,number_of_artists,popularity_artist_mean,followers_mean,num_of_markets,camelot,tempo,energy,danceability,happiness,acousticness,instrumentalness,liveness,speechiness,loudness,major,minor,album,compilation,single,Amount_words,Amount_unique_words,Diversity_coeff,Amount_adlibs,Amount_verses,Amount_chorus,Avg_words_verse,Scalared_popularity
26278,4jTKJOFxaqEcm558JYi4Dh,62,3.32,0,1,433848,2,76.0,14040562.0,185,1A,175.0,76.0,30.0,35.0,84.0,0.0,9.0,22.0,-5,0,1,0,0,1,595.0,282.0,2.1099290780141846,0.0,1.0,0.0,559.0,-1.1772297068807263
26280,3184c0tjCakg9oaNZYJODD,62,2.81,1,2,475584,2,77.0,18216060.0,185,8B,112.0,49.0,61.0,70.0,1.0,84.0,13.0,4.0,-14,1,0,0,0,1,200.0,115.0,1.7391304347826086,0.0,2.0,0.0,43.0,-1.1772297068807263
26281,1AgSUWSzmza5jF6ER5R68v,62,2.14,1,8,435816,2,78.0,7469218.0,185,4A,160.0,85.0,63.0,46.0,0.0,0.0,41.0,17.0,-5,0,1,1,0,0,345.0,177.0,1.9491525423728813,1.0,2.0,0.0,172.0,-1.1772297068807263
26282,6S5dMjMifQYmyTu1mX4f8P,62,2.12,1,1,434472,1,80.0,10582865.0,185,5B,105.0,77.0,64.0,48.0,1.0,0.0,9.0,13.0,-7,1,0,0,0,1,254.0,131.0,1.938931297709924,1.0,1.0,1.0,173.0,-1.1772297068807263
26283,1b4KQGFYbRqRe2Bx818Kqb,62,3.44,1,5,432024,1,79.0,6117460.0,185,6A,90.0,91.0,48.0,14.0,3.0,0.0,29.0,5.0,-4,0,1,1,0,0,557.0,245.0,2.273469387755102,1.0,3.0,3.0,134.0,-1.1772297068807263
26284,2teGB5ifG84CGS3Y0pdhpS,62,2.99,0,1,427752,2,81.0,22614018.0,176,8A,123.0,49.0,67.0,14.0,64.0,0.0,17.0,7.0,-9,0,1,0,0,1,345.0,136.0,2.536764705882353,0.0,0.0,0.0,0.0,-1.1772297068807263
26286,3lxNk4bzyRcQT40jI8Imnn,62,2.75,1,1,487920,2,82.0,15731159.0,185,10B,95.0,67.0,70.0,28.0,3.0,0.0,14.0,32.0,-7,1,0,0,0,1,272.0,140.0,1.9428571428571428,6.0,1.0,0.0,219.0,-1.1772297068807263
26287,74nCM3fhMDl2NF8xaHR774,62,4.11,1,5,404472,2,82.0,15731159.0,185,1A,132.0,58.0,79.0,59.0,9.0,0.0,13.0,31.0,-10,0,1,0,0,1,298.0,75.0,3.973333333333333,0.0,0.0,3.0,0.0,-1.1772297068807263
26288,4cYRltLe5uX5K1QUY73YuE,62,3.72,1,1,407664,3,82.0,15731159.0,185,10B,98.0,70.0,37.0,6.0,1.0,0.0,14.0,6.0,-7,1,0,0,0,1,340.0,172.0,1.976744186046512,1.0,0.0,0.0,0.0,-1.1772297068807263
26289,0H1Had94fszD13qsFsP1U5,62,3.56,1,3,428256,1,82.0,15731159.0,185,3A,82.0,60.0,75.0,59.0,24.0,0.0,15.0,43.0,-7,0,1,1,0,0,346.0,76.0,4.552631578947368,5.0,2.0,3.0,70.0,-1.1772297068807263
26290,1Vjn9saTlgAdag9UECRafl,62,2.68,1,7,402504,1,82.0,15731159.0,185,6A,97.0,70.0,72.0,56.0,54.0,0.0,42.0,7.0,-7,0,1,1,0,0,305.0,65.0,4.6923076923076925,0.0,0.0,3.0,0.0,-1.1772297068807263
26291,2zdcIatMRVWqbYshX4nIR7,62,3.94,1,2,487728,2,78.0,5626396.0,183,4A,97.0,54.0,45.0,33.0,71.0,0.0,14.0,15.0,-12,0,1,1,0,0,769.0,314.0,2.449044585987261,43.0,2.0,2.0,286.0,-1.1772297068807263
26295,2mt3QHYbKBMdSTIfzSFsYH,62,2.94,0,1,489240,2,75.0,8806337.0,183,9A,105.0,66.0,86.0,80.0,6.0,0.0,9.0,9.0,-9,0,1,0,0,1,283.0,134.0,2.111940298507463,0.0,2.0,2.0,75.0,-1.1772297068807263
26296,22agj1ppHejR41cUyf7k6v,62,4.67,1,1,451920,1,80.0,6620936.0,184,3B,178.0,59.0,57.0,92.0,67.0,0.0,31.0,33.0,-8,1,0,1,0,0,772.0,374.0,2.064171122994652,3.0,2.0,0.0,291.0,-1.1772297068807263
26297,7r7NTwtWAhPRtzylDu3hnE,62,3.91,1,1,422160,1,80.0,6620936.0,185,11B,87.0,73.0,74.0,47.0,42.0,0.0,9.0,28.0,-4,1,0,0,0,1,628.0,303.0,2.072607260726073,0.0,1.0,0.0,619.0,-1.1772297068807263
26299,3rqmxZNh2BRgJ3BiCPFTSG,62,4.0,1,6,431112,2,80.0,6620936.0,184,3B,172.0,64.0,56.0,18.0,6.0,0.0,12.0,26.0,-5,1,0,1,0,0,693.0,304.0,2.2796052631578947,0.0,1.0,2.0,449.0,-1.1772297068807263
