,id,name,album,key,mode,camelot,tempo,duration,popularity,energy,danceability,happiness,acousticness,instrumentalness,liveness,speechiness,loudness
0,28d2b51489b549a17ef66f2f9b7125ad,Timeless (feat Playboi Carti),Hurry Up Tomorrow,B,minor,10A,120.0,4:16,94.0,78.0,77.0,60.0,7.0,0.0,14.0,5.0,-5 dB
1,38e373523b8470b50714738cca729385,Sugar On My Tongue,DON'T TAP THE GLASS,B,major,1B,126.0,2:33,88.0,50.0,70.0,46.0,3.0,0.0,19.0,10.0,-7 dB
2,3c9011625240a6d3b6d84840a595dd7e,See You Again (feat. Kali Uchis),Flower Boy,F#,major,2B,79.0,3:00,90.0,56.0,56.0,62.0,37.0,0.0,11.0,10.0,-9 dB
3,218710a19ec1e4f6b02a661eac9e3b18,One Dance,Views,C#,major,3B,104.0,2:53,89.0,63.0,79.0,37.0,1.0,0.0,33.0,5.0,-6 dB
4,60c5c12ef85ffab8d674d3619d28c4e9,Without Me,The Eminem Show,G,major,9B,112.0,4:50,88.0,67.0,91.0,66.0,0.0,0.0,24.0,7.0,-3 dB
5,51a559bad6bbb95b9dae7101c6c09d6f,Confident,Journals,F,minor,4A,134.0,4:08,86.0,56.0,74.0,89.0,11.0,0.0,21.0,11.0,-5 dB
6,fa206dc201e5847b87f3c0bc89758973,Flashing Lights,Graduation,F#,minor,11A,90.0,3:57,86.0,63.0,64.0,43.0,4.0,0.0,39.0,4.0,-8 dB
7,8dfe193e2fef0237b178707fb9edb36e,,,Bb,major,6B,87.0,4:23,85.0,93.0,75.0,64.0,24.0,0.0,52.0,23.0,-5 dB
8,0e9646581dccf4225c73bdf47247997d,,,D,major,10B,62.0,1:25,85.0,74.0,51.0,15.0,1.0,0.0,11.0,4.0,-7 dB
9,9c2ec3e1b7198feb90cae375027b8cc6,Diles,Diles,D,minor,7A,118.0,4:46,86.0,56.0,81.0,29.0,11.0,0.0,27.0,6.0,-6 dB
10,b02cc436dfd9515cb0b760be4a4576f2,Passionfruit,More Life,B,major,1B,112.0,4:58,87.0,46.0,81.0,36.0,26.0,9.0,11.0,4.0,-11 dB
11,6874f45a2c3c625daf8c02f5ef5c061e,NOKIA,$ome $exy $ongs 4 U,F,major,7B,106.0,4:01,92.0,73.0,54.0,51.0,25.0,0.0,17.0,15.0,-4 dB
12,7d06ec23a52e9d4083ab24fe69af2220,,,A#,minor,3A,88.0,3:31,86.0,65.0,79.0,65.0,5.0,0.0,25.0,14.0,-6 dB
13,3fc550b9a5e6b3ca4314169c052c10cf,God's Plan,Scorpion,G,major,9B,77.0,3:18,86.0,45.0,75.0,36.0,3.0,0.0,55.0,11.0,-9 dB
14,93d6ab71ff51c5a5948b140687ecb66f,,,F,minor,4A,105.0,4:44,87.0,66.0,95.0,76.0,3.0,0.0,5.0,6.0,-4 dB
15,ccb62ffc579ba04dbd2de4f95584afaf,goosebumps,Birds In The Trap Sing McKnight,G,major,9B,130.0,4:03,87.0,73.0,84.0,43.0,8.0,0.0,15.0,5.0,-3 dB
16,9f652ed54e3696f23b72899efdfe8b98,,,A,minor,8A,120.0,3:14,85.0,74.0,66.0,20.0,19.0,0.0,14.0,3.0,-4 dB
17,0cf410cdaf66474c3225e22b4d1ef56d,,,F#,minor,11A,90.0,3:00,84.0,80.0,66.0,96.0,9.0,0.0,20.0,3.0,-4 dB
18,2c4983329e5943320d87ed98d4764ac0,Umbrella,Good Girl Gone Bad: Reloaded,C#,major,3B,174.0,4:35,86.0,83.0,59.0,58.0,1.0,0.0,4.0,12.0,-5 dB
19,3640e91dc1f057910a43014863dddc11,Lose My Mind (feat. Doja Cat) [From F1® The Movie],Lose My Mind (feat. Doja Cat) [From F1® The Movie],G,major,9B,110.0,3:29,88.0,67.0,55.0,24.0,6.0,0.0,12.0,4.0,-6 dB
20,0a9066387961f68839c3b9a697d2142f,,,D,major,10B,95.0,2:55,83.0,55.0,79.0,17.0,7.0,0.0,11.0,13.0,-9 dB
21,43b634f9346114ad7dc11ad8be4cbbd8,,,Bb,major,6B,104.0,4:28,81.0,85.0,69.0,74.0,39.0,0.0,9.0,5.0,-6 dB
22,7b3342da9b491bc35dba81a189ae6cc2,,,G#,minor,1A,130.0,3:33,83.0,55.0,72.0,56.0,9.0,0.0,13.0,7.0,-9 dB
23,1c8a80f2317605ef1e2114c4690d960b,,,G#,minor,1A,123.0,3:41,84.0,75.0,77.0,78.0,11.0,0.0,17.0,12.0,-4 dB
24,363dcfdfeab8e04cec7ac790576f17f4,Solo,HNDRXX,F,minor,4A,111.0,4:25,82.0,49.0,78.0,9.0,5.0,50.0,10.0,5.0,-6 dB
25,17c684df26d9c6821ad83c25387e33bb,luther (with sza),GNX,D,major,10B,138.0,2:57,89.0,57.0,71.0,58.0,25.0,0.0,25.0,13.0,-8 dB
26,07ab2c95c91b6bbad970334f97adc1f1,SICKO MODE,ASTROWORLD,Ab,major,4B,155.0,5:12,84.0,73.0,83.0,45.0,1.0,0.0,12.0,22.0,-4 dB
27,51f47111fbf801c785a75bb4d8d1844a,ARE WE STILL FRIENDS?,IGOR,Bb,major,6B,187.0,4:25,87.0,50.0,22.0,31.0,13.0,0.0,11.0,4.0,-8 dB
28,f98e27f9575c5687c05436534b0bcec5,Low Life (feat. The Weeknd),EVOL,Ab,major,4B,144.0,5:13,85.0,33.0,72.0,10.0,34.0,28.0,15.0,7.0,-8 dB
29,178f0bf99aa4f31fa3d54dd164791a28,,,C,minor,5A,131.0,2:27,82.0,53.0,80.0,33.0,2.0,0.0,10.0,4.0,-10 dB
30,17520b1cc2de04fb89fb32e5bb5ed08f,,,E,minor,9A,130.0,5:50,83.0,76.0,80.0,58.0,2.0,0.0,30.0,6.0,-3 dB
31,aaa4a69e02c00c5320980a11b9cc5225,,,Ab,major,4B,74.0,4:08,83.0,45.0,69.0,20.0,1.0,0.0,9.0,26.0,-6 dB
32,98e4cb6f786be453004e1c726dba07be,Side To Side,Dangerous Woman,F#,minor,11A,159.0,3:46,82.0,74.0,65.0,61.0,5.0,0.0,24.0,23.0,-6 dB
33,94f80b3ba5fcbc9272d47cd7a595fb8e,I Wonder,Graduation,C,major,8B,191.0,4:03,84.0,47.0,54.0,13.0,14.0,0.0,13.0,8.0,-9 dB
34,4ad42e0ee67e7644aee2d8460b476cb0,,,D,major,10B,146.0,4:18,80.0,92.0,64.0,85.0,3.0,0.0,9.0,8.0,-4 dB
35,1fffa850f2c14c08333a212e7bbbe0ff,,,G,major,9B,128.0,3:31,77.0,34.0,66.0,41.0,81.0,0.0,11.0,5.0,-11 dB
36,e2bb37835cc1eb07f4e1c39c451ba212,,,B,minor,10A,120.0,4:36,81.0,68.0,77.0,81.0,28.0,0.0,68.0,22.0,-6 dB
37,06b7b5b21b2368c288499d66d99d704c,,,C#,major,3B,107.0,3:40,76.0,74.0,80.0,25.0,24.0,6.0,10.0,8.0,-7 dB
38,b28927a3992d2ad0116c11796d59688c,,,F#,minor,11A,86.0,2:39,83.0,52.0,71.0,30.0,71.0,0.0,9.0,4.0,-9 dB
39,17ecacb666fac172cebb71e241173b43,,,G,minor,6A,92.0,3:05,82.0,52.0,74.0,49.0,39.0,0.0,24.0,3.0,-8 dB
